4080	1
23585	2
10546	3
1958	4
4186	5
800	6
12450	7
26814	8
29364	9
582	10
11992	11
1074	12
13421	13
16114	14
19463	15
28003	16
8297	17
9356	18
13005	19
19445	20
12455	21
15573	22
2741	23
8374	24
18848	25
28043	26
21545	27
15790	28
24326	29
6053	30
2389	31
28741	32
18479	33
29044	34
18426	35
5207	36
245	37
19803	38
4268	39
16624	40
2151	41
8288	42
9701	43
26909	44
28209	45
15449	46
14470	47
24322	48
11789	49
11943	50
7326	51
14378	52
19082	53
24656	54
15545	55
28064	56
7387	57
21269	58
10289	59
7816	60
66	61
6847	62
15067	63
7486	64
22687	65
20523	66
2413	67
6730	68
6606	69
4349	70
4655	71
18422	72
7710	73
12205	74
19225	75
15126	76
2801	77
7700	78
1115	79
5083	80
1965	81
186	82
112	83
20394	84
20174	85
16219	86
4696	87
23704	88
476	89
11761	90
22348	91
9731	92
4000	93
14217	94
3345	95
2789	96
2842	97
8900	98
23055	99
17583	100
4163	101
2819	102
14879	103
19938	104
317	105
22526	106
10931	107
12146	108
17111	109
14700	110
8143	111
12499	112
5208	113
10878	114
27031	115
12262	116
19421	117
5728	118
151	119
27866	120
17743	121
12678	122
29271	123
6653	124
958	125
12095	126
24609	127
22519	128
14429	129
9323	130
24297	131
2468	132
2999	133
14530	134
24083	135
23372	136
101	137
16386	138
4954	139
178	140
8836	141
25213	142
10715	143
20730	144
16911	145
20270	146
26326	147
2121	148
16913	149
6302	150
24890	151
13580	152
21123	153
18462	154
36	155
29228	156
5940	157
12814	158
16830	159
21719	160
8192	161
20302	162
26828	163
13853	164
17573	165
10960	166
5435	167
23694	168
13245	169
19177	170
7372	171
27663	172
1925	173
2239	174
20389	175
25739	176
27386	177
16341	178
2382	179
5727	180
12245	181
6701	182
25152	183
11028	184
22604	185
7998	186
26122	187
18342	188
19383	189
8035	190
26845	191
17959	192
24666	193
7519	194
9304	195
1212	196
10630	197
16231	198
403	199
37	200
11511	201
13719	202
24465	203
23229	204
7449	205
86	206
9248	207
26382	208
21491	209
685	210
24011	211
5362	212
5926	213
11534	214
17972	215
18471	216
21897	217
11167	218
29138	219
20221	220
15915	221
431	222
22397	223
27433	224
26447	225
15576	226
16391	227
3360	228
6510	229
10991	230
16642	231
5508	232
17230	233
19055	234
10373	235
5130	236
19433	237
27524	238
71	239
10388	240
5486	241
23420	242
4677	243
25424	244
